id_venta,fecha,cliente_id,cantidad,stock,nombre,categoria,precio
1,28/08/2024,298,1,3383,Manzanas,Frutas y Verduras,5200
2,01/06/2024,37,3,4043,Medialunas,Panaderia,2800
3,29/02/2024,31,3,2800,Zanahorias,Frutas y Verduras,2600
4,26/09/2024,111,5,1506,Garbanzos,Conservas,2900
5,06/09/2024,188,4,2099,Queso rallado,Lacteos,15400
6,30/05/2024,70,5,4978,Agua mineral,Bebidas,5000
7,03/12/2024,43,6,3731,Papas fritas,Congelados,6600
8,13/02/2024,214,4,2182,Atun enlatado,Conservas,5000
9,26/12/2024,21,1,4769,Manies,Galletitas y Snacks,4400
10,06/04/2024,232,2,1506,Garbanzos,Conservas,2900
11,20/02/2024,237,6,1640,Pizza congelada,Congelados,12400
12,12/11/2024,247,5,1541,Lechugas,Frutas y Verduras,3400
13,07/07/2024,75,4,5057,Galletitas de chocolate,Galletitas y Snacks,5000
14,13/02/2024,171,4,3545,Cebolla,Frutas y Verduras,3400
15,15/04/2024,219,4,4769,Manies,Galletitas y Snacks,4400
16,20/11/2024,106,1,3167,Queso cremoso,Lacteos,13800
17,14/08/2024,51,3,2771,Galletitas de agua,Galletitas y Snacks,4200
18,17/03/2024,179,3,2429,Costilla de cerdo,Carniceria,11400
19,26/07/2024,47,6,2771,Galletitas de agua,Galletitas y Snacks,4200
20,04/11/2024,122,6,4068,Chorizo,Carniceria,9000
21,29/06/2024,184,2,4978,Agua mineral,Bebidas,5000
22,08/06/2024,257,6,2771,Galletitas de agua,Galletitas y Snacks,4200
23,25/08/2024,4,6,4769,Manies,Galletitas y Snacks,4400
24,04/07/2024,184,4,1506,Garbanzos,Conservas,2900
25,24/09/2024,275,3,4769,Manies,Galletitas y Snacks,4400
26,16/09/2024,286,2,3731,Papas fritas,Congelados,6600
27,25/06/2024,85,1,1640,Pizza congelada,Congelados,12400
28,06/03/2024,240,3,3731,Papas fritas,Congelados,6600
29,12/02/2024,205,2,2182,Atun enlatado,Conservas,5000
30,25/05/2024,46,1,1363,Vino tinto,Bebidas,10800
31,14/03/2024,267,1,3358,Yogur,Lacteos,4200
32,29/10/2024,155,6,1506,Garbanzos,Conservas,2900
33,27/10/2024,65,2,3731,Papas fritas,Congelados,6600
34,15/02/2024,325,5,1437,Arroz,Conservas,3400
35,10/03/2024,62,6,4051,Pollo,Carniceria,14800
36,11/10/2024,77,2,4978,Agua mineral,Bebidas,5000
37,14/05/2024,12,5,4578,Lentejas,Conservas,2600
38,17/10/2024,271,6,1541,Lechugas,Frutas y Verduras,3400
39,26/02/2024,183,2,1688,Hamburgesas congeladas,Congelados,7600
40,16/03/2024,125,6,4769,Manies,Galletitas y Snacks,4400
41,08/06/2024,38,4,1363,Vino tinto,Bebidas,10800
42,16/03/2024,259,5,5057,Galletitas de chocolate,Galletitas y Snacks,5000
43,02/02/2024,294,1,2771,Galletitas de agua,Galletitas y Snacks,4200
44,19/03/2024,122,2,1363,Vino tinto,Bebidas,10800
45,02/06/2024,11,3,1363,Vino tinto,Bebidas,10800
46,01/09/2024,207,1,2429,Costilla de cerdo,Carniceria,11400
47,01/08/2024,86,4,2771,Galletitas de agua,Galletitas y Snacks,4200
48,16/07/2024,13,2,2099,Queso rallado,Lacteos,15400
49,12/05/2024,237,3,1688,Hamburgesas congeladas,Congelados,7600
50,25/06/2024,233,2,3731,Papas fritas,Congelados,6600
51,23/05/2024,189,2,4720,Bananas,Frutas y Verduras,5800
52,04/09/2024,50,6,3189,Tortas,Panaderia,12200
53,19/02/2024,66,2,1363,Vino tinto,Bebidas,10800
54,08/03/2024,108,1,2228,Pan integral,Panaderia,10000
55,19/12/2024,264,4,1726,Salchicha,Carniceria,9000
56,27/09/2024,91,6,1541,Lechugas,Frutas y Verduras,3400
57,02/08/2024,305,1,2228,Pan integral,Panaderia,10000
58,19/05/2024,157,6,4929,Manteca,Lacteos,4500
59,29/09/2024,242,6,3189,Tortas,Panaderia,12200
60,03/05/2024,53,5,1541,Lechugas,Frutas y Verduras,3400
61,23/04/2024,319,2,5137,Asado,Carniceria,22800
62,07/08/2024,205,2,4043,Medialunas,Panaderia,2800
63,11/05/2024,180,1,2837,Papas chips,Galletitas y Snacks,6800
64,04/12/2024,82,4,2908,Empanadas,Congelados,10800
65,18/11/2024,205,5,4978,Agua mineral,Bebidas,5000
66,01/03/2024,97,3,4978,Agua mineral,Bebidas,5000
67,06/07/2024,120,2,4720,Bananas,Frutas y Verduras,5800
68,06/10/2024,127,2,1541,Lechugas,Frutas y Verduras,3400
69,18/08/2024,4,3,2182,Atun enlatado,Conservas,5000
70,27/05/2024,138,4,2837,Papas chips,Galletitas y Snacks,6800
71,18/09/2024,79,1,3167,Queso cremoso,Lacteos,13800
72,02/03/2024,144,5,3731,Papas fritas,Congelados,6600
73,25/06/2024,143,3,1688,Hamburgesas congeladas,Congelados,7600
74,16/07/2024,125,4,4041,Tomates,Frutas y Verduras,5200
75,24/12/2024,200,4,1437,Arroz,Conservas,3400
76,04/11/2024,147,5,4578,Lentejas,Conservas,2600
77,18/02/2024,320,2,4978,Agua mineral,Bebidas,5000
78,13/08/2024,60,6,2228,Pan integral,Panaderia,10000
79,30/06/2024,133,4,2908,Empanadas,Congelados,10800
80,09/04/2024,313,6,1640,Pizza congelada,Congelados,12400
81,22/07/2024,160,2,2429,Costilla de cerdo,Carniceria,11400
82,15/04/2024,246,3,4978,Agua mineral,Bebidas,5000
83,08/09/2024,187,6,3358,Yogur,Lacteos,4200
84,11/10/2024,110,1,2228,Pan integral,Panaderia,10000
85,23/02/2024,91,5,2099,Queso rallado,Lacteos,15400
86,29/03/2024,188,2,1363,Vino tinto,Bebidas,10800
87,25/04/2024,152,6,1688,Hamburgesas congeladas,Congelados,7600
88,24/02/2024,176,1,1506,Garbanzos,Conservas,2900
89,28/02/2024,6,2,2429,Costilla de cerdo,Carniceria,11400
90,10/05/2024,161,3,3189,Tortas,Panaderia,12200
91,29/09/2024,192,6,5137,Asado,Carniceria,22800
92,24/07/2024,190,2,3545,Cebolla,Frutas y Verduras,3400
93,02/11/2024,101,4,1688,Hamburgesas congeladas,Congelados,7600
94,06/08/2024,174,1,2771,Galletitas de agua,Galletitas y Snacks,4200
95,03/03/2024,67,5,3125,Facturas,Panaderia,9900
96,15/06/2024,93,3,3125,Facturas,Panaderia,9900
97,09/07/2024,103,1,4041,Tomates,Frutas y Verduras,5200
98,22/06/2024,177,1,1541,Lechugas,Frutas y Verduras,3400
99,01/11/2024,11,1,3383,Manzanas,Frutas y Verduras,5200
100,29/09/2024,134,6,1688,Hamburgesas congeladas,Congelados,7600
101,07/11/2024,281,1,4578,Lentejas,Conservas,2600
102,10/04/2024,282,1,1688,Hamburgesas congeladas,Congelados,7600
103,04/05/2024,98,3,3383,Manzanas,Frutas y Verduras,5200
104,25/07/2024,171,2,2800,Zanahorias,Frutas y Verduras,2600
105,29/09/2024,24,1,2908,Empanadas,Congelados,10800
106,21/12/2024,67,6,2800,Zanahorias,Frutas y Verduras,2600
107,13/11/2024,7,5,2908,Empanadas,Congelados,10800
108,08/04/2024,153,4,3383,Manzanas,Frutas y Verduras,5200
109,31/10/2024,285,6,4769,Manies,Galletitas y Snacks,4400
110,20/02/2024,31,2,1726,Salchicha,Carniceria,9000
111,22/11/2024,103,5,2455,Cerveza,Bebidas,9200
112,27/09/2024,3,1,2771,Galletitas de agua,Galletitas y Snacks,4200
113,25/03/2024,72,1,4041,Tomates,Frutas y Verduras,5200
114,07/08/2024,46,6,3731,Papas fritas,Congelados,6600
115,26/11/2024,19,4,2800,Zanahorias,Frutas y Verduras,2600
116,07/02/2024,71,4,1437,Arroz,Conservas,3400
117,10/02/2024,288,3,2429,Costilla de cerdo,Carniceria,11400
118,20/03/2024,26,4,1640,Pizza congelada,Congelados,12400
119,24/04/2024,55,4,2800,Zanahorias,Frutas y Verduras,2600
120,25/11/2024,16,4,2182,Atun enlatado,Conservas,5000
121,30/07/2024,114,4,2182,Atun enlatado,Conservas,5000
122,04/12/2024,237,5,3125,Facturas,Panaderia,9900
123,29/02/2024,169,5,5057,Galletitas de chocolate,Galletitas y Snacks,5000
124,14/03/2024,173,5,2228,Pan integral,Panaderia,10000
125,30/10/2024,190,6,3167,Queso cremoso,Lacteos,13800
126,07/08/2024,24,5,1688,Hamburgesas congeladas,Congelados,7600
127,23/11/2024,95,3,3327,Leche,Lacteos,9800
128,24/05/2024,214,4,3358,Yogur,Lacteos,4200
129,16/08/2024,25,2,3125,Facturas,Panaderia,9900
130,06/07/2024,273,4,2455,Cerveza,Bebidas,9200
131,18/02/2024,17,5,3731,Papas fritas,Congelados,6600
132,21/10/2024,95,1,4978,Agua mineral,Bebidas,5000
133,23/05/2024,220,4,3545,Cebolla,Frutas y Verduras,3400
134,25/02/2024,308,1,2429,Costilla de cerdo,Carniceria,11400
135,21/04/2024,254,2,2182,Atun enlatado,Conservas,5000
136,23/08/2024,258,3,1688,Hamburgesas congeladas,Congelados,7600
137,07/10/2024,264,1,4043,Medialunas,Panaderia,2800
138,16/12/2024,148,5,4041,Tomates,Frutas y Verduras,5200
139,17/08/2024,302,4,3140,Milanesa,Carniceria,13000
140,07/05/2024,220,3,2455,Cerveza,Bebidas,9200
141,22/05/2024,115,3,4929,Manteca,Lacteos,4500
142,25/08/2024,246,2,2800,Zanahorias,Frutas y Verduras,2600
143,13/07/2024,184,6,2771,Galletitas de agua,Galletitas y Snacks,4200
144,22/12/2024,47,1,2429,Costilla de cerdo,Carniceria,11400
145,07/12/2024,257,4,2228,Pan integral,Panaderia,10000
146,31/07/2024,148,2,3140,Milanesa,Carniceria,13000
147,05/09/2024,213,6,5057,Galletitas de chocolate,Galletitas y Snacks,5000
148,19/07/2024,50,6,4051,Pollo,Carniceria,14800
149,13/08/2024,79,6,4068,Chorizo,Carniceria,9000
150,27/09/2024,133,3,5137,Asado,Carniceria,22800
151,01/12/2024,317,2,1541,Lechugas,Frutas y Verduras,3400
152,10/03/2024,64,5,1726,Salchicha,Carniceria,9000
153,05/08/2024,268,4,3167,Queso cremoso,Lacteos,13800
154,02/09/2024,164,2,3189,Tortas,Panaderia,12200
155,06/11/2024,125,5,3358,Yogur,Lacteos,4200
156,23/09/2024,145,6,2099,Queso rallado,Lacteos,15400
157,18/12/2024,179,1,4720,Bananas,Frutas y Verduras,5800
158,04/11/2024,319,2,1688,Hamburgesas congeladas,Congelados,7600
159,05/10/2024,217,2,1688,Hamburgesas congeladas,Congelados,7600
160,02/04/2024,106,6,1640,Pizza congelada,Congelados,12400
161,29/11/2024,134,5,3125,Facturas,Panaderia,9900
162,25/12/2024,319,5,3189,Tortas,Panaderia,12200
163,01/06/2024,165,6,1726,Salchicha,Carniceria,9000
164,06/10/2024,233,2,4720,Bananas,Frutas y Verduras,5800
165,18/09/2024,173,3,3140,Milanesa,Carniceria,13000
166,18/02/2024,25,5,2228,Pan integral,Panaderia,10000
167,08/12/2024,1,4,3637,Jugos de frutas,Bebidas,7600
168,21/02/2024,186,1,3358,Yogur,Lacteos,4200
169,02/05/2024,279,4,2908,Empanadas,Congelados,10800
170,25/03/2024,269,3,1541,Lechugas,Frutas y Verduras,3400
171,30/09/2024,50,3,4978,Agua mineral,Bebidas,5000
172,27/03/2024,268,6,2908,Empanadas,Congelados,10800
173,23/10/2024,168,1,4578,Lentejas,Conservas,2600
174,05/05/2024,264,1,3358,Yogur,Lacteos,4200
175,06/08/2024,203,2,3167,Queso cremoso,Lacteos,13800
176,09/11/2024,68,6,2837,Papas chips,Galletitas y Snacks,6800
177,02/06/2024,316,5,2800,Zanahorias,Frutas y Verduras,2600
178,29/07/2024,159,1,2800,Zanahorias,Frutas y Verduras,2600
179,29/09/2024,37,4,5137,Asado,Carniceria,22800
180,20/05/2024,58,3,1640,Pizza congelada,Congelados,12400
181,06/07/2024,143,6,4769,Manies,Galletitas y Snacks,4400
182,10/05/2024,301,2,2228,Pan integral,Panaderia,10000
183,01/03/2024,31,3,2182,Atun enlatado,Conservas,5000
184,05/07/2024,150,6,4769,Manies,Galletitas y Snacks,4400
185,30/05/2024,97,5,3637,Jugos de frutas,Bebidas,7600
186,19/09/2024,204,1,1619,Pan frances,Panaderia,6500
187,31/05/2024,118,5,3140,Milanesa,Carniceria,13000
188,09/11/2024,323,5,4578,Lentejas,Conservas,2600
189,29/03/2024,170,1,1363,Vino tinto,Bebidas,10800
190,26/05/2024,21,1,3731,Papas fritas,Congelados,6600
191,27/06/2024,186,1,1726,Salchicha,Carniceria,9000
192,25/06/2024,97,4,4978,Agua mineral,Bebidas,5000
193,05/08/2024,20,2,3327,Leche,Lacteos,9800
194,15/04/2024,45,5,5057,Galletitas de chocolate,Galletitas y Snacks,5000
195,15/12/2024,71,4,2228,Pan integral,Panaderia,10000
196,01/12/2024,104,4,4978,Agua mineral,Bebidas,5000
197,30/05/2024,211,1,1688,Hamburgesas congeladas,Congelados,7600
198,28/12/2024,106,5,4068,Chorizo,Carniceria,9000
199,16/03/2024,226,4,1363,Vino tinto,Bebidas,10800
200,26/11/2024,142,6,1437,Arroz,Conservas,3400
201,02/07/2024,141,3,3125,Facturas,Panaderia,9900
202,30/07/2024,170,5,5137,Asado,Carniceria,22800
203,01/09/2024,322,6,2771,Galletitas de agua,Galletitas y Snacks,4200
204,16/08/2024,292,5,5137,Asado,Carniceria,22800
205,04/09/2024,303,3,3358,Yogur,Lacteos,4200
206,27/08/2024,96,5,1363,Vino tinto,Bebidas,10800
207,17/02/2024,203,2,1541,Lechugas,Frutas y Verduras,3400
208,19/03/2024,66,3,2455,Cerveza,Bebidas,9200
209,31/03/2024,311,3,1437,Arroz,Conservas,3400
210,07/03/2024,215,3,1437,Arroz,Conservas,3400
211,04/08/2024,264,2,5057,Galletitas de chocolate,Galletitas y Snacks,5000
212,09/07/2024,75,2,4051,Pollo,Carniceria,14800
213,19/12/2024,322,4,2800,Zanahorias,Frutas y Verduras,2600
214,11/05/2024,9,2,3140,Milanesa,Carniceria,13000
215,07/02/2024,64,2,2771,Galletitas de agua,Galletitas y Snacks,4200
216,23/06/2024,270,4,3140,Milanesa,Carniceria,13000
217,29/04/2024,100,4,3383,Manzanas,Frutas y Verduras,5200
218,15/12/2024,36,1,1437,Arroz,Conservas,3400
219,02/07/2024,24,6,3731,Papas fritas,Congelados,6600
220,31/07/2024,156,6,4929,Manteca,Lacteos,4500
221,28/11/2024,31,2,2099,Queso rallado,Lacteos,15400
222,08/12/2024,260,2,1726,Salchicha,Carniceria,9000
223,18/02/2024,221,1,2455,Cerveza,Bebidas,9200
224,26/09/2024,294,5,2429,Costilla de cerdo,Carniceria,11400
225,14/03/2024,104,3,2182,Atun enlatado,Conservas,5000
226,09/02/2024,3,4,1726,Salchicha,Carniceria,9000
227,20/05/2024,271,6,4068,Chorizo,Carniceria,9000
228,26/10/2024,209,4,1726,Salchicha,Carniceria,9000
229,12/12/2024,153,5,3125,Facturas,Panaderia,9900
230,29/12/2024,252,3,5137,Asado,Carniceria,22800
231,23/11/2024,39,3,2771,Galletitas de agua,Galletitas y Snacks,4200
232,03/04/2024,144,3,2908,Empanadas,Congelados,10800
233,28/09/2024,315,5,2429,Costilla de cerdo,Carniceria,11400
234,31/10/2024,255,5,1506,Garbanzos,Conservas,2900
235,25/10/2024,177,2,3167,Queso cremoso,Lacteos,13800
236,18/02/2024,44,4,2800,Zanahorias,Frutas y Verduras,2600
237,12/02/2024,182,4,2800,Zanahorias,Frutas y Verduras,2600
238,04/05/2024,25,2,3358,Yogur,Lacteos,4200
239,10/04/2024,197,6,1506,Garbanzos,Conservas,2900
240,04/10/2024,312,4,2455,Cerveza,Bebidas,9200
241,19/07/2024,158,5,4068,Chorizo,Carniceria,9000
242,25/10/2024,152,3,3327,Leche,Lacteos,9800
243,15/06/2024,54,3,5057,Galletitas de chocolate,Galletitas y Snacks,5000
244,15/06/2024,188,5,4068,Chorizo,Carniceria,9000
245,05/04/2024,101,4,5057,Galletitas de chocolate,Galletitas y Snacks,5000
246,14/07/2024,171,3,1688,Hamburgesas congeladas,Congelados,7600
247,22/08/2024,63,6,5057,Galletitas de chocolate,Galletitas y Snacks,5000
248,14/04/2024,132,5,3167,Queso cremoso,Lacteos,13800
249,28/03/2024,1,2,2771,Galletitas de agua,Galletitas y Snacks,4200
250,08/11/2024,313,3,2908,Empanadas,Congelados,10800
